,,,,Receiving,,,Routes Run,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,Rts,TPRR%,YPRR,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,YAC%,Drawn,On
Jalen Nailor,MIN,WR,4,8,5,117,13,61.5,9,106,13.3,4.6,79,62.5,0,8.5,5.3,38,7.6,32.5,0,0
Chase Claypool,CHI,WR,6,23,12,111,72,31.9,1.54,212,9.2,1.4,75,52.2,4.3,18.4,17.6,36,3,32.4,2,0
N'Keal Harry,CHI,WR,5,7,6,109,39,17.9,2.79,104,14.9,0.8,90,85.7,0,10.2,6.1,19,3.2,17.4,1,0
David Sills,NYG,WR,7,17,11,106,78,21.8,1.36,135,7.9,0.6,66,64.7,5.9,10.7,8.9,40,3.6,37.7,0,0
Steven Sims,PIT,WR,9,23,14,104,115,20,0.9,128,5.6,0.5,41,60.9,0,6,8.4,63,4.5,60.6,0,0
T.Y. Hilton,DAL,WR,2,6,5,102,21,28.6,4.86,104,17.3,3.4,74,83.3,0,18.5,7.9,28,5.6,27.5,0,0
Breshad Perriman,TB,WR,7,17,8,101,85,20,1.19,234,13.8,1.5,54,47.1,5.9,11.4,6.1,47,5.9,46.5,0,0
River Cracraft,MIA,WR,7,13,8,97,50,26,1.94,119,9.2,1.1,72,61.5,0,5,5.1,25,3.1,25.8,0,0
Michael Bandy,LAC,WR,7,21,10,89,121,17.4,0.74,184,8.8,1,65,47.6,4.8,9.6,7.1,24,2.4,27,0,0
Cam Sims,WAS,WR,11,17,8,89,129,13.2,0.69,247,14.5,0.9,67,47.1,11.8,9,4.9,22,2.8,24.7,0,0
Jalen Reagor,MIN,WR,9,11,6,87,29,37.9,3,158,14.4,3.3,60,54.5,0,5.9,3.2,27,4.5,31,0,0
Samori Toure,GB,WR,4,10,5,82,46,21.7,1.78,171,17.1,2.6,69,50,0,16.1,7.7,13,2.6,15.9,1,0
Velus Jones,CHI,WR,6,12,6,79,49,24.5,1.61,187,15.6,1.9,41,50,8.3,15.8,8.8,38,6.3,48.1,0,0
Kyle Philips,TEN,WR,4,13,8,78,48,27.1,1.63,95,7.3,1.7,56,61.5,7.7,12.9,13.4,22,2.8,28.2,0,0
Robbie Anderson,ARI,WR,7,17,7,76,87,19.5,0.87,284,16.7,1.9,52,41.2,5.9,15.7,6.9,24,3.4,31.6,0,0
Jalen Virgil,DEN,WR,4,5,2,75,34,14.7,2.21,77,15.4,1.5,31,40,0,6.7,3.6,44,22,58.7,0,0
Kevin White,NO,WR,4,5,2,74,44,11.4,1.68,90,18,1.1,6,40,20,8.2,3.7,68,34,91.9,0,0
Jalen Guyton,LAC,WR,2,4,2,64,16,25,4,109,27.3,5.2,55,50,0,18.9,5.3,9,4.5,14.1,0,0
Jake Kumerow,BUF,WR,4,7,4,64,38,18.4,1.68,71,10.1,1,46,57.1,0,5.4,4.6,18,4.5,28.1,0,0
Marcus Johnson,NYG,WR,4,16,6,63,115,13.9,0.55,151,9.4,0.8,35,37.5,18.8,20.8,14.4,28,4.7,44.4,0,0
James Proche,BAL,WR,6,14,8,62,58,24.1,1.07,112,8,1,45,57.1,7.1,9.3,7.9,17,2.1,27.4,0,0
Trent Taylor,CIN,WR,5,10,6,62,54,18.5,1.15,47,4.7,0.5,21,60,0,4.1,5.9,41,6.8,66.1,0,0
Jamison Crowder,BUF,WR,4,13,6,60,76,17.1,0.79,117,9,1.3,29,46.2,7.7,11.1,8.1,31,5.2,51.7,0,0
Mike Strachan,IND,WR,5,9,3,59,48,18.8,1.23,133,14.8,1.8,48,33.3,0,10.1,4.6,11,3.7,18.6,0,0
Dee Eskridge,SEA,WR,8,13,7,58,90,14.4,0.64,49,3.8,0.3,12,53.8,7.7,3,5.6,46,6.6,79.3,1,0
Cody Hollister,TEN,WR,4,5,3,54,31,16.1,1.74,76,15.2,0.9,45,60,0,12,6.9,9,3,16.7,0,0
Gunner Olszewski,PIT,WR,4,7,5,53,51,13.7,1.04,57,8.1,0.6,39,71.4,0,5.6,6,14,2.8,26.4,0,0
Anthony Schwartz,CLE,WR,6,10,4,51,45,22.2,1.13,146,14.6,2.1,22,40,30,7.7,5.2,29,7.3,56.9,0,1
Kenny Golladay,NYG,WR,5,10,4,51,63,15.9,0.81,95,9.5,0.7,37,40,30,10.6,8,14,3.5,27.5,0,1
Amari Rodgers,GB,WR,4,8,4,50,46,17.4,1.09,104,13,1.3,44,50,12.5,8.9,5.5,19,4.8,34.5,0,1
Chris Conley,TEN,WR,3,5,4,46,44,11.4,1.05,69,13.8,1,42,80,0,10.5,6.5,4,1,8.7,0,0
Laquon Treadwell,SEA,WR,3,10,6,42,62,16.1,0.68,54,5.4,0.5,29,60,10,6.8,9.7,13,2.2,31,0,0
Brandon Johnson,DEN,WR,4,14,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameson Williams,DET,WR,5,8,1,41,26,30.8,1.58,137,17.1,2.3,37,12.5,12.5,11.8,4.4,4,4,9.8,0,0
Isaiah Hodgins,BUF,WR,1,6,4,41,10,60,4.1,42,7,3.5,20,66.7,0,10.4,17.6,21,5.3,51.2,0,0
Racey McMath,TEN,WR,3,8,2,40,37,21.6,1.08,174,21.8,3.6,33,25,0,20.7,7.8,7,3.5,17.5,0,0
Sammy Watkins,BAL,WR,1,1,1,40,7,14.3,5.71,26,26,1.6,26,100,0,14.7,6.7,14,14,35,0,0
Andre Baccellia,ARI,WR,4,9,6,39,50,18,0.78,70,7.8,0.9,27,66.7,0,6.1,5.4,12,2,30.8,0,0
Mike Thomas,CIN,WR,4,10,2,38,81,12.3,0.47,123,12.3,0.9,14,20,10,12.7,6.4,24,12,63.2,1,0
Dax Milne,WAS,WR,7,7,6,37,29,24.1,1.28,35,5,0.6,21,85.7,0,2.1,3,16,2.7,43.2,0,0
Tim Jones,JAX,WR,4,4,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Jones,JAX,WR,4,4,3,30,25,16,1.2,4,1,0.1,6,75,25,0.4,3.3,24,8,80,0,0
Michael Woods,CLE,WR,5,9,4,30,44,20.5,0.68,152,16.9,1.9,22,44.4,0,10.9,6,8,2,26.7,0,0
Tyrie Cleveland,DEN,WR,3,7,2,28,38,18.4,0.74,59,8.4,1,10,33.3,0,6,5.8,18,9,64.3,0,0
Jaelon Darden,TB,WR,2,2,2,26,18,11.1,1.44,11,5.5,0.6,11,100,0,1.8,2.2,15,7.5,57.7,0,0
Daylen Baldwin,CLE,WR,1,2,2,25,5,40,5,25,12.5,2.1,25,100,0,23.6,7.7,0,0,0,0,0
Simi Fehoko,DAL,WR,2,4,3,24,14,28.6,1.71,49,12.3,2.9,13,75,0,8,5.7,11,3.7,45.8,0,0
Dezmon Patmon,IND,WR,1,6,2,24,17,35.3,1.41,73,12.2,3.3,16,33.3,16.7,26.9,20.7,8,4,33.3,0,0
Andy Isabella,ARI,WR,2,5,2,21,34,14.7,0.62,64,12.8,1.2,15,40,0,11.6,5.5,6,3,28.6,0,0
Tylan Wallace,BAL,WR,4,6,3,21,24,25,0.88,83,13.8,2.2,15,50,0,6.6,5.1,6,2,28.6,0,0
Keke Coutee,IND,WR,1,1,1,20,1,100,20,9,9,9,9,100,0,5.8,3.7,11,11,55,0,0
Freddie Swain,DEN,WR,2,3,2,20,46,6.5,0.43,12,4,0.1,4,66.7,0,2.8,5.4,16,8,80,0,0
Penny Hart,SEA,WR,3,4,3,20,21,19,0.95,30,7.5,1.2,7,75,0,3.5,3.3,13,4.3,65,0,0
Lil'Jordan Humphrey,NE,WR,3,4,2,20,38,10.5,0.53,23,5.8,0.2,5,50,0,2.9,4.7,15,7.5,75,0,0
Cole Beasley,BUF,WR,2,2,2,18,15,13.3,1.2,12,6,0.8,12,100,0,1.8,3.2,6,3,33.3,0,0
Keith Kirkwood,NO,WR,3,4,2,18,35,11.4,0.51,55,13.8,0.6,15,50,0,9.8,5.7,3,1.5,16.7,0,0
Cole Beasley,TB,WR,2,5,4,17,9,55.6,1.89,11,2.2,1.1,7,80,20,1.8,5.4,10,2.5,58.8,0,0
Braylon Sanders,MIA,WR,2,3,2,17,15,20,1.13,41,13.7,1.6,14,66.7,0,6.4,4.7,3,1.5,17.6,0,0
Juwann Winfree,GB,WR,3,4,1,17,25,16,0.68,53,13.3,1.6,12,25,25,7.4,3.6,5,5,29.4,0,0
Dennis Houston,DAL,WR,2,6,2,16,44,13.6,0.36,81,13.5,1.5,10,33.3,0,14.6,8.5,6,3,37.5,0,0
Quintez Cephus,DET,WR,1,3,2,15,15,20,1,16,5.3,0.5,11,66.7,0,4.2,7.7,4,2,26.7,0,0
Bryan Edwards,ATL,WR,4,5,3,15,37,13.5,0.41,37,7.4,0.6,5,60,0,4.1,4.9,10,3.3,66.7,0,0
Ihmir Smith-Marsette,CHI,WR,3,4,1,15,23,17.4,0.65,24,6,0.5,9,25,25,3.7,5.9,6,6,40,0,0
Nsimba Webster,CHI,WR,1,3,2,14,7,42.9,2,22,7.3,2.2,10,66.7,0,14.4,14.3,4,2,28.6,0,0
Deonte Harty,NO,WR,2,2,2,13,13,15.4,1,6,3,0.3,6,100,0,0.7,2.8,7,3.5,53.8,0,0
Austin Trammell,LAR,WR,2,4,2,13,9,44.4,1.44,27,6.8,1.3,13,50,0,5.2,6.8,0,0,0,0,0
Jalen Tolbert,DAL,WR,2,3,2,12,8,37.5,1.5,42,14,1.2,11,66.7,0,11,5.1,1,0.5,8.3,0,0
Miles Boykin,PIT,WR,3,3,2,11,8,37.5,1.38,44,14.7,1.2,11,66.7,0,5.3,2.8,0,0,0,0,0
Danny Gray,SF,WR,4,7,1,10,15,46.7,0.67,149,21.3,4.4,6,14.3,0,17.6,5.8,4,4,40,0,0
KaVontae Turpin,DAL,WR,2,2,1,9,3,66.7,3,8,4,2,3,50,0,1.4,2.5,6,6,66.7,0,0
Tyron Johnson,HOU,WR,1,1,1,8,13,7.7,0.62,-2,-2,-0.1,-2,100,0,-1.2,4.8,10,10,125,0,0
Jalen Camp,HOU,WR,1,1,1,7,6,16.7,1.17,7,7,0.5,7,100,0,4.3,4.8,0,0,0,0,0
Maurice Alexander,DET,WR,1,1,1,7,1,100,7,2,2,2,2,100,0,0.8,2.8,5,5,71.4,0,0
Deven Thompkins,TB,WR,1,1,1,7,5,20,1.4,5,5,0.4,5,100,0,1.6,2.4,2,2,28.6,0,0
C.J. Board,TEN,WR,1,1,1,6,0,0,0,6,6,0.4,6,100,0,3.7,4,0,0,0,0,0
Jacob Harris,LAR,WR,1,1,1,6,0,0,0,5,5,0,5,100,0,3.4,4.2,1,1,16.7,0,0
Jason Moore,LAC,WR,1,2,1,5,15,13.3,0.33,25,12.5,1.6,5,50,0,8.4,3.9,0,0,0,0,0
Mason Kinsey,TEN,WR,1,1,1,3,9,11.1,0.33,3,3,0.2,3,100,0,2.1,5,0,0,0,0,0
Cody White,PIT,WR,1,1,1,2,0,0,0,0,0,0,0,100,0,0,3.6,2,2,100,0,0
Montrell Washington,DEN,WR,7,9,4,2,25,36,0.08,146,16.2,3.6,-12,44.4,11.1,7.9,4.7,14,3.5,700,0,0
Chris Conley,HOU,WR,1,2,0,0,4,50,0,18,9,2,0,0,50,7.1,5.6,0,0,0,0,0
John Brown,BUF,WR,1,1,0,0,1,100,0,42,42,14,0,0,0,19.7,3.7,0,0,0,0,0
Tanner Gentry,BUF,WR,1,1,0,0,8,12.5,0,8,8,0.7,0,0,0,2,2.9,0,0,0,0,0
Stanley Morgan,CIN,WR,1,1,0,0,3,33.3,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0
James Washington,DAL,WR,1,1,0,0,7,14.3,0,6,6,0.5,0,0,0,1.8,2.6,0,0,0,0,0
Kadarius Toney,NYG,WR,1,3,2,0,16,18.8,0,-9,-3,-0.3,-7,66.7,33.3,-4.8,9.4,7,3.5,0,0,1
Lance McCutcheon,LAR,WR,2,5,0,0,18,27.8,0,57,11.4,1.8,0,0,25,16.3,9.5,0,0,0,0,0
DJ Turner,LV,WR,1,1,0,0,2,50,0,-3,-3,-0.8,0,0,100,-1.7,5.3,0,0,0,0,0
Cade Johnson,SEA,WR,1,2,0,0,18,11.1,0,20,10,0.8,0,0,0,7.7,6.9,0,0,0,0,0
Josh Gordon,TEN,WR,1,1,0,0,8,12.5,0,13,13,0.8,0,0,0,7,4.5,0,0,0,0,0
